producto_id,product_code,product_name,category_code,uom_code,standard_cost,standard_price,currency_code
PROD_0001,MAIZ_GRANO,Maiz Grano,GRANO,TN,138.0,205.0,USD
PROD_0002,SOJA_GRANO,Soja Grano,GRANO,TN,212.0,315.0,USD
PROD_0003,TRIGO_GRANO,Trigo Grano,GRANO,TN,152.0,225.0,USD
PROD_0004,SEM_MAIZ,Semilla de Maiz,SEMILLA,KG,4.8,6.2,USD
PROD_0005,SEM_SOJA,Semilla de Soja,SEMILLA,KG,1.25,1.8,USD
PROD_0006,SEM_TRIGO,Semilla de Trigo,SEMILLA,KG,0.72,1.1,USD
PROD_0007,UREA,Urea,FERTILIZANTE,KG,0.62,0.85,USD
PROD_0008,MAP,MAP,FERTILIZANTE,KG,0.74,0.96,USD
PROD_0009,GLIFOSATO,Glifosato,FITOSANITARIO,LT,6.2,7.9,USD
PROD_0010,INSECTICIDA,Insecticida,FITOSANITARIO,LT,18.0,22.0,USD
PROD_0011,FUNGICIDA,Fungicida,FITOSANITARIO,LT,21.0,25.0,USD
PROD_0012,GASOIL,Gasoil,COMBUSTIBLE,LT,1.15,1.35,USD
PROD_0013,FILTRO_ACEITE,Filtro de Aceite,REPUESTO,UN,15.0,20.0,USD
PROD_0014,RODAMIENTO,Rodamiento,REPUESTO,UN,42.0,58.0,USD
PROD_0015,CORREA,Correa,REPUESTO,UN,26.0,35.0,USD
PROD_0016,SERV_TALLER,Servicio de Taller,SERVICIO,HR,38.0,50.0,USD
PROD_0017,FLETE_TERCERIZADO,Flete Tercerizado,SERVICIO,TN,14.0,18.0,USD
